"","x"
"668","Fam46c"
"669","Atp5f1"
"670","Csf1"
"671","Gstm7"
"672","Gstm2"
"673","Gstm1"
"674","Myoz2"
"675","Gm2078,Mir1895"
"676","Cisd2"
"677","Pdlim5"
"678","Cyr61"
"679","Ptgfr"
"680","Dnajb4"
"681","Acadm"
"682","Coq3"
"683","Dnajb5"
"684","Nr4a3"
"685","Murc"
"686","Fsd1l"
"687","Fktn"
"688","Atp6v1g1"
"689","6330416G13Rik"
"690","Gm11235"
"691","Ak4"
"692","Ppap2b"
"693","Usp24"
"694","Cyb5rl"
"695","Gm12824"
"696","Atpaf1"
"697","Nt5c1a"
"698","Stk40"
"699","BC003266"
"700","Fndc5"
"701","Laptm5"
"702","Asap3"
"703","Tcea3"
"704","Akr7a5"
"705","Aldh4a1"
"706","Sdhb"
"707","Arhgef19"
"708","Dhrs3"
"709","Dffa"
"710","Clstn1"
"711","Gpr157"
"712","Errfi1"
"713","Klhl21"
"714","Pank4"
"715","Tmem52"
"716","2310042D19Rik"
"717","Car8"
"718","Otud6b"
"719","Decr1"
"720","Wwp1"
"721","Pm20d2"
"722","Ndufb6"
"723","AI464131"
"724","Tomm5"
"725","Mrpl50"
"726","Ptpn3"
"727","AI314180"
"728","2310002L09Rik"
"729","Mrpl37"
"730","Cpt2"
"731","Scp2"
"732","Cyp4b1"
"733","Mmachc"
"734","Smap2"
"735","Ndufs5"
"736","Zc3h12a"
"737","Wdtc1"
"738","Extl1"
"739","C1qb"
"740","C1qc"
"741","C1qa"
"742","Pink1"
"743","Nbl1"
"744","Fblim1"
"745","Tmem82"
"746","Slc25a34"
"747","Plekhm2"
"748","Dnajc16"
"749","Mfn2"
"750","Fbxo6"
"751","Rbp7"
"752","Slc25a33"
"753","2810405K02Rik"
"754","Vwa1"
"755","Steap4"
"756","Abcb4"
"757","Magi2"
"758","Fam185a"
"759","Klhl7"
"760","Actr3b"
"761","Hadhb"
"762","Kcnk3"
"763","4930471M23Rik"
"764","Mapre3"
"765","Trim54"
"766","Fosl2"
"767","Fgfr3"
"768","Sod3"
"769","Slain2"
"770","Art3"
"771","Mrpl1"
"772","Golga3"
"773","Iscu"
"774","Acacb"
"775","Coq5"
"776","Tesc"
"777","2410131K14Rik"
"778","Pptc7"
"779","Setd8"
"780","Rasa4"
"781","D830046C22Rik,Gpr146"
"782","Mafk"
"783","2810453I06Rik"
"784","Gm15459"
"785","Cd36"
"786","Asb10"
"787","Gm10221"
"788","Htra3"
"789","Wfs1"
"790","Atp8a1"
"791","Yipf7"
"792","Corin"
"793","Sgcb"
"794","Tecrl"
"795","Scarb2"
"796","Gbp10"
"797","Gbp6"
"798","Atp5k"
"799","Pxmp2"
"800","Cryba4"
"801","Cmklr1"
"802","Trpv4"
"803","Hspb8"
"804","Srrm4"
"805","Oas2"
"806","Ptpn11"
"807","Aldh2"
"808","Acad12"
"809","Abcb9"
"810","Rilpl1"
"811","Ubc"
"812","Serpine1"
"813","Gna12"
"814","Flt1"
"815","Slc46a3"
"816","Ubl3"
"817","Gm16854"
"818","Kcnd2"
"819","Asb15"
"820","Lmod2"
"821","2210408F21Rik"
"822","Bpgm"
"823","Chrm2"
"824","Gstk1"
"825","Wipf3"
"826","Aqp1"
"827","Mmrn1"
"828","Igkc"
"829","St3gal5"
"830","Retsat"
"831","Suclg1"
"832","Dysf"
"833","Klf15"
"834","Slc41a3"
"835","Arl6ip5"
"836","Bhlhe40"
"837","Lmcd1"
"838","Tuba8"
"839","Cd163"
"840","Gm5884"
"841","Clec2d"
"842","Gabarapl1"
"843","Crebl2"
"844","Lyrm5"
"845","2810474O19Rik"
"846","Slc25a13"
"847","Ndufa4"
"848","Ppp1r3a"
"849","Podxl"
"850","Akr1b3"
"851","Cycs"
"852","Nod1"
"853","Inmt"
"854","Ppm1k"
"855","Ptcd3"
"856","Vamp5"
"857","Tgoln1"
"858","Kcmf1"
"859","Hk2"
"860","Cyp26b1"
"861","Spr"
"862","Lmod3"
"863","Timp4"
"864","Ret"
"865","C1s,Gm5077"
"866","Ptpn6"
"867","Kcna5"
"868","Ndufa9"
"869","Fkbp4"
"870","Plbd1"
"871","Ldhb"
"872","Tmtc1"
"873","Ndufa3"
"874","Ttyh1"
"875","Isoc2a"
"876","Dmpk"
"877","Opa3"
"878","Rtn2"
"879","Ethe1"
"880","Ech1"
"881","Cox7a1"
"882","Hspb6"
"883","Etfb"
"884","Slc17a7"
"885","Hrc"
"886","Kcna7"
"887","Bcat2"
"888","Tmem143"
"889","Nomo1"
"890","Pcsk6"
"891","Rgma"
"892","Fam174b"
"893","Aen"
"894","Isg20"
"895","Ctsc"
"896","Me3"
"897","Art1"
"898","Pgap2"
"899","Smpd1"
"900","Tmem159"
"901","Sbk1"
"902","Tufm"
"903","Trim72"
"904","Bag3"
"905","Dpysl4"
"906","Eps8l2"
"907","Pnpla2"
"908","Cd151"
"909","Lilrb3"
"910","Ppp1r37"
"911","Pvr"
"912","Bckdha"
"913","Axl"
"914","Zfp36"
"915","Scn1b"
"916","Mybpc2"
"917","Myh14"
"918","Atf5"
"919","Fcgrt"
"920","Emp3"
"921","Csrp3"
"922","Svip"
"923","Snrpn"
"924","Fah"
"925","Tmem126a"
"926","Thrsp"
"927","Dgat2"
"928","P2ry2"
"929","Hbb-b2"
"930","Hbb-b1"
"931","Apbb1"
"932","Scube2"
"933","Coq7"
"934","Sult1a1"
"935","Aldoa"
"936","Cox6a2"
"937","Bnip3"
"938","Cox8b"
"939","Ifitm3"
"940","Tollip"
"941","Mob2"
"942","6330512M04Rik,Ctsd"
"943","Trappc5"
"944","Lamp1"
"945","Ank1"
"946","Prosc"
"947","Tmem66"
"948","Acsl1"
"949","Rwdd4a"
"950","Aga"
"951","Asb5"
"952","Fbxo8"
"953","Mfap3l"
"954","Cbr4"
"955","Lpl"
"956","Pde4c"
"957","Rab3a"
"958","Slc27a1"
"959","Tmem38a"
"960","Rnf150"
"961","Ndufb7"
"962","Gpt2"
"963","Adcy7"
"964","Ogfod1"
"965","Mt2"
"966","Mt1"
"967","Herpud1"
"968","Gpr56"
"969","Pdp2"
"970","Nol3"
"971","Pdpr"
"972","Nudt7"
"973","Mlycd"
"974","Gnpat,Trim67"
"975","Adprhl1"
"976","Dcun1d2"
"977","1810011O10Rik"
"978","Gm9755"
"979","Ndufa13"
"980","B3gnt3"
"981","Calr3"
"982","Slc35e1"
"983","Mmaa"
"984","Tecr"
"985","Junb"
"986","Dnaja2"
"987","Kifc3"
"988","Got2"
