"","x"
"786","Rassf8"
"787","Rbm28"
"788","Copg2"
"789","Ptn"
"790","Creb3l2"
"791","Zc3hav1l"
"792","Fam115a"
"793","Tpk1"
"794","Ezh2"
"795","Jazf1"
"796","Tcf7l1"
"797","Tmsb10"
"798","Dnahc6"
"799","Actg2"
"800","Exoc6b"
"801","Antxr1"
"802","Podxl2"
"803","Mcm2"
"804","Chchd6"
"805","Nup210"
"806","Pdzrn3"
"807","Rad18"
"808","Srgap3"
"809","Eno2"
"810","Gpr162"
"811","Ptms"
"812","Ccnd2"
"813","Tspan9"
"814","Eps8"
"815","Sox5"
"816","Fam60a"
"817","Suv420h2"
"818","Lig1"
"819","Ccdc8"
"820","2410002F23Rik"
"821","Tead2"
"822","Nav2"
"823","Chsy1"
"824","Adamts17"
"825","Igf1r"
"826","Prc1"
"827","Eftud1"
"828","Mex3b"
"829","Sytl2"
"830","Prcp"
"831","Odz4"
"832","Gm9990"
"833","Rrm1"
"834","Olfr608"
"835","Olfr628"
"836","Mical2"
"837","Parva"
"838","Insc"
"839","Gm6905"
"840","Gm10586"
"841","Tgfb1i1"
"842","Dock1"
"843","Kcnq1"
"844","Dhcr7"
"845","Tnnt1"
"846","Zim1"
"847","Peg3"
"848","Hif3a"
"849","Clasrp"
"850","Grik5"
"851","Pafah1b3"
"852","Actn4"
"853","Catsperg1"
"854","Wtip"
"855","C80913"
"856","Ccne1"
"857","E2f8"
"858","Gm9801"
"859","4833412C05Rik"
"860","Hdgfrp3"
"861","9930013L23Rik"
"862","Olfr609"
"863","Trim5"
"864","Arfip2"
"865","AA474408"
"866","Dkk3"
"867","Plekha7"
"868","Arl6ip1"
"869","Itpripl2"
"870","Eri2"
"871","Kif22"
"872","Adam12"
"873","D7Ertd443e"
"874","Mki67"
"875","Ebf3"
"876","H19,Mir675"
"877","Igf2"
"878","Cdkn1c"
"879","Osbpl5"
"880","Cttn"
"881","Ccnd1"
"882","Stxbp2"
"883","Gm6483"
"884","Sfrp1"
"885","Gpr124"
"886","Eif4ebp1"
"887","Rnf122"
"888","Fut10"
"889","Gsr"
"890","Tusc3"
"891","Slc7a2"
"892","Casp3"
"893","Dctd"
"894","Vegfc"
"895","5033428I22Rik"
"896","Hmgb2"
"897","Fam32a"
"898","Mcm5"
"899","Zfp827"
"900","Asf1b"
"901","Nkd1"
"902","Fto"
"903","Cdh3"
"904","Zfp821"
"905","Wwox"
"906","Ctxn1"
"907","Shcbp1"
"908","6820431F20Rik"
"909","Gm10043"
"910","Rbpms"
"911","Neil3"
"912","Wdr17"
"913","Sap30"
"914","Csgalnact1"
"915","Zfp868"
"916","Gatad2a"
"917","Zfp423"
"918","Sall1"
"919","Tox3"
"920","Cdh11"
"921","Cenpt"
"922","Cfdp1"
"923","Mmp12"
"924","Cnn1"
"925","Bbs9"
"926","Adamts8"
"927","Arhgap32"
"928","Cdon"
"929","Mcam"
"930","H2afx"
"931","Ift46"
"932","Hmg20a"
"933","Car12"
"934","AC158995.1"
"935","Aldh1a2"
"936","Wdr72"
"937","Cd109"
"938","Rbp1"
"939","Dzip1l"
"940","Topbp1"
"941","Wdr82"
"942","Cacna2d2"
"943","Cdhr4,Ip6k1,RP24-484G16.9,Uba7"
"944","Smarcc1"
"945","Kif15"
"946","Dnmt1"
"947","Spc24"
"948","Anln"
"949","Tbx20"
"950","Ntm"
"951","Chek1"
"952","AW551984"
"953","Ubash3b"
"954","Cep164"
"955","Ncam1"
"956","Dixdc1"
"957","Cd276"
"958","Thsd4"
"959","Kif23"
"960","Fem1b"
"961","Smad6"
"962","Zwilch"
"963","Tcf12"
"964","2310046A06Rik"
"965","Eef1a1"
"966","Col12a1"
"967","Snap91"
"968","Tbx18"
"969","Snhg5"
"970","BC043934"
"971","Rasa2"
"972","4930579K19Rik"
"973","Tmem108"
"974","Col6a6"
"975","Abhd14a"
"976","Klhdc8b"
"977","Pth1r"
"978","Cmtm7"
"979","Rbms3"
"980","Usp11"
"981","Gria3"
"982","Slitrk2"
"983","Aff2"
"984","Prrg3"
"985","Zfp275"
"986","Plxna3"
"987","Heph"
"988","Eda"
"989","Nono"
"990","Nhsl2"
"991","Lpar4"
"992","Gm6377,Sh3bgrl"
"993","Zfp711"
"994","Diap2"
"995","Tmem35"
"996","Cenpi"
"997","Armcx4"
"998","Armcx1"
"999","Armcx3"
"1000","Gprasp2"
"1001","Bhlhb9"
"1002","Wbp5"
"1003","Ngfrap1"
"1004","Gm7973"
"1005","BC065397"
"1006","Nrk"
"1007","Gm6368"
"1008","Tmem164"
"1009","Gm8534"
"1010","Ctps2"
"1011","Mid1"
"1012","Clcn5"
"1013","Rbm3"
"1014","Slc9a7"
"1015","Gm14562"
"1016","Klhl13"
"1017","Sept6"
"1018","Smarca1"
"1019","Elf4"
"1020","6720401G13Rik"
"1021","Mbnl3"
"1022","Hs6st2"
"1023","Gpc3"
"1024","Plac1"
"1025","Fam122b"
"1026","Renbp"
"1027","Gm8864"
"1028","Pola1"
"1029","Pdk3"
"1030","Maged1"
"1031","Ophn1"
"1032","Hdac8"
"1033","Xist"
"1034","Slc16a2"
"1035","Gm14892"
"1036","Zdhhc15"
"1037","Zcchc5"
"1038","Itm2a"
"1039","Tspan6"
"1040","Armcx6"
"1041","Armcx2"
"1042","Tceal8"
"1043","Tceal5"
"1044","Bex1"
"1045","Col4a6"
"1046","Gm15032"
"1047","Ammecr1"
"1048","Capn6"
"1049","Tro"
"1050","Maged2"
"1051","Gm4919"
"1052","Shroom2"
"1053","Rpl7a-ps12"
"1054","Gm7312"
"1055","Prps2"
